GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ask_Portal Maven Webapp,com.prokarma.postquery.service,PostQueryServiceImpl,0,61,0,8,0,15,0,6,0,2
Ask_Portal Maven Webapp,com.prokarma.forgotpassword.model,ResponseModel,10,0,0,0,5,0,3,0,3,0
Ask_Portal Maven Webapp,com.prokarma.forgotpassword.model,ForgotPasswordModel,24,0,0,0,11,0,7,0,7,0
Ask_Portal Maven Webapp,com.prokarma.viewpost.controller,ViewController,0,19,0,0,0,4,0,3,0,3
Ask_Portal Maven Webapp,com.prokarma.postquery.dao,PostQueryDaoImpl,0,199,3,7,0,45,3,5,0,3
Ask_Portal Maven Webapp,com.prokarma.postquery.controller,PostQueryController,0,24,0,0,0,5,0,2,0,2
Ask_Portal Maven Webapp,com.prokarma.admin.services,AdminServiceImpl,62,52,2,0,10,11,1,3,0,3
Ask_Portal Maven Webapp,com.prokarma.sme.controller,SmeController,0,19,0,0,0,4,0,4,0,4
Ask_Portal Maven Webapp,com.prokarma.admin.dao,AdminDAOImpl,136,19,6,0,26,6,7,3,4,3
Ask_Portal Maven Webapp,com.prokarma.admin.dao,AdminDAOImpl.new BatchPreparedStatementSetter() {...},42,0,0,0,6,0,3,0,3,0
Ask_Portal Maven Webapp,com.prokarma.forgotpassword.service,MailServiceImpl,51,7,2,0,12,2,2,2,1,2
Ask_Portal Maven Webapp,com.prokarma.forgotpassword.service,ForgotPasswordServiceImpl,31,7,2,0,10,2,2,2,1,2
Ask_Portal Maven Webapp,com.prokarma.menudashboard.service,MenuServiceImpl,0,37,0,4,0,9,0,4,0,2
